FID,OBJECTID,SYSTEM,LINENAME,LINECOLOR,LINETYPE,LENGTH_MI,Shape__Length
1,1,METROLINK,LAMBERT AIRPORT-MAIN // SHILOH-SCOTT,RED LINE,LIGHT RAIL,37.88091271,0.640774083
2,2,METROLINK,SHREWSBURY-LANSDOWNE I-44 // FAIRVIEW HEIGHTS,BLUE LINE,LIGHT RAIL,22.72342951,0.392726167
