FID,OBJECTID,osm_id,code,fclass,name,Shape_Leng,AREA,Shape__Area,Shape__Length
595,5607,273510757,8200,water, ,3793.372307,3793.372307,3.83E-06,0.011932337
596,5608,273511057,8200,water, ,4399.848814,4399.848814,2.51E-06,0.013443843
597,5609,273526493,8200,water, ,8172.10325,8172.10325,1.59E-05,0.026732596
598,5610,273526549,8200,water, ,10329.04682,10329.04682,2.70E-05,0.033497193
599,5626,273547044,8200,water, ,6309.838917,6309.838917,4.86E-06,0.020417485
600,5627,273547482,8200,water, ,4453.762794,4453.762794,1.33E-06,0.014447036
601,5634,273550629,8200,water, ,4081.369021,4081.369021,2.12E-06,0.013185973
602,5646,274658416,8200,water, ,3892.398271,3892.398271,1.44E-06,0.012386571
603,5648,274659098,8200,water, ,6871.894409,6871.894409,8.74E-06,0.02104228
604,5652,276365647,8200,water,Lily Lake,4249.356277,4249.356277,1.40E-06,0.014397019
605,5653,276398982,8200,water, ,21590.69092,21590.69092,7.92E-06,0.068011873
606,5660,276612285,8200,water, ,7924.463409,7924.463409,6.42E-06,0.024966801
607,5661,276620962,8200,water, ,4912.373393,4912.373393,3.99E-06,0.015401723
608,5663,3788200,8200,water, ,5327.070949,5327.070949,3.33E-06,0.016698249
609,5664,285608453,8200,water, ,4943.332596,4943.332596,2.93E-06,0.015827907
610,5667,285608596,8200,water, ,3530.598853,3530.598853,2.14E-06,0.010456782
611,5685,307673874,8200,water, ,7362.839737,7362.839737,1.01E-05,0.022331685
612,5694,307676504,8200,water, ,7460.68411,7460.68411,6.30E-06,0.023477123
613,5703,307764821,8200,water, ,4676.987785,4676.987785,2.92E-06,0.014040776
614,5708,311993931,8200,water, ,3535.051044,3535.051044,5.69E-06,0.011079333
615,5709,311993932,8200,water, ,8836.404007,8836.404007,2.42E-05,0.027469567
616,5725,384976813,8200,water,Lake Lou Yaeger,125575.622,125575.622,0.000561939,0.389283886
617,5726,384976821,8200,water,Litchfield Lake,4613.04817,4613.04817,5.50E-06,0.014223153
618,5728,388736903,8200,water, ,3698.607741,3698.607741,2.91E-06,0.011867767
619,5731,5878385,8200,water,Baldwin Lake,81852.54972,81852.54972,0.000820247,0.247720745
620,5743,392518612,8201,reservoir,Lake Christine,5667.810248,5667.810248,6.31E-06,0.017616515
621,5744,392518612,8200,water,Lake Christine,5667.810248,5667.810248,6.31E-06,0.017616515
622,5757,397090030,8200,water, ,3684.423931,3684.423931,7.29E-06,0.011857474
623,5758,2647103,8202,river,Mississippi River,1142022.331,1142022.331,0.009585188,3.487068227
624,5763,933167,8202,river,Missouri River,9632931.317,9632931.317,0.04470669,30.85740454
625,5771,440692587,8200,water, ,3894.437057,3894.437057,3.93E-06,0.012938321
626,5772,440693930,8200,water, ,5392.13318,5392.13318,3.80E-06,0.016311453
