FID,NAME,ACREAGE,SOURCE,NOTES,OWNER,USER_,Shape__Area,Shape__Length
891,JACKIE JOYNER-KERSEE CENTER,35.49,EWGCC,DOQed,City,Public,1.49E-05,0.015357673
892,JONES PARK,120.15,EWGCC,DOQed-ok,City,Public,5.03E-05,0.046974836
893,WILD CANID SANCTUARY,598.64,COPAR, ,Private,Public,0.000249917,0.109801012
894,PROPOSED GRANT'S TRAIL,24.15,COPARed,News article.,Private,Public,1.01E-05,0.069167425
895,DARDENNE CREEK GREENWAY,161.65,GRG/COPAR,Part fudged,GRG,Public,6.78E-05,0.080745961
896,ST LOUIS COUNTY OPEN SPACE,18.93,Ben Knox, ,County,Public,7.91E-06,0.028956166
897,ST LOUIS COUNTY OPEN SPACE,22.4,Ben Knox, ,County,Public,9.36E-06,0.017895712
898,ST LOUIS COUNTY OPEN SPACE,111.55,Ben Knox, ,County,Public,4.67E-05,0.03147746
899,ST LOUIS COUNTY OPEN SPACE,14.86,Ben Knox, ,County,Public,6.21E-06,0.010060809
900,ST LOUIS COUNTY OPEN SPACE,17.4,Ben Knox, ,County,Public,7.27E-06,0.014263211
901,FREYMUTH PARK,90.26,COPAR, ,City,Public,3.79E-05,0.025149573
902,YOUTH ACTIVITY PARK,31.11,COPAR, ,City,Public,1.31E-05,0.017105656
903,GREEN FOREST PARK,25.65,COPAR, ,City,Public,1.08E-05,0.030230612
904,JONES CONFLUENCE SP,1243.8,COPAR, ,MoDNR,Public,0.000522264,0.109427212
905,COLUMBIA GC,150.18,EWGCC, ,Private,Public,2.72E-05,0.024454734
906,COLUMBIA BRIDGES GC,124.9,GEM,DOQed-FCshape,Private,Public,5.18E-05,0.043415961
907,KASKASKIA RIVER SFWA,8193.76,ISGSed,edited as necessary,IDNR,Public,0.002413978,0.870057699
908,TAMARAWA SCOUT CAMP,27.09,GEM,DOQ/PBed,Private,Semi-Public,9.85E-06,0.013023637
909,COLUMBIA GC,150.18,EWGCC, ,Private,Public,3.55E-05,0.038012453
910,KASKASKIA RIVER SFWA,8193.76,ISGSed,edited as necessary,IDNR,Public,0.000997239,0.410177554
911,KATY TRAIL SP,378.55,COPAR,parcel-based 6/20/02,MoDNR,Public,3.99E-05,0.3828443
912,KATY TRAIL SP,378.55,COPAR,parcel-based 6/20/02,MoDNR,Public,0.000115224,0.740908874
913,KATY TRAIL SP,135.76,EWGCC, ,MoDNR,Public,5.70E-05,0.399177642
914,"DUSABLE PARK, AUGUST REGOT AREA",11.33,EWGCC, ,City,Public,4.75E-06,0.010542833
915,BLANCHETTE LANDING RIVER ACCESS,21.08,EWGCC, ,City,Public,8.85E-06,0.0151101
916,"DUSABLE PARK, ED BALES AREA",16.22,EWGCC, ,City,Public,6.81E-06,0.016425958
