FID,NAME,ACREAGE,SOURCE,NOTES,OWNER,USER_,Shape__Area,Shape__Length
183,BEE TREE COUNTY PARK,187.11,COPAR, ,County,Public,7.81E-05,0.051414349
184,KIRKWOOD CITY PARK,83.47,COPAR,ok,City,Public,3.49E-05,0.028665699
185,ROBERTSVILLE SP,1129.88,MODNRed,DOQ/PBed-PLUS,MoDNR,Public,0.000471685,0.103104087
186,MERAMEC SP,88.32,MODNR,weird?6788-6896a.TOT,MoDNR,Public,3.68E-05,0.024725978
187,UPPER MISSISSIPPI CA,297.67,MOPUB,DOQed-COEmap,Federal,Public,0.000125111,0.062492554
188,UPPER MISSISSIPPI CA,519.61,MOPUB,DOQed-usedCOEmap,Federal,Public,0.00021828,0.129310646
189,UPPER MISSISSIPPI CA,30.58,MOPUB, ,MDC,Public,1.28E-05,0.019992383
190,BANGERT (LOUIS H) MEM WA,133.71,MOPUBed,DOQedNOTcopar,MDC,Public,5.61E-05,0.039345621
191,ROCKWOODS TOWERSITE,9.12,MOPUB,ok,MDC,Public,3.81E-06,0.007695191
192,CALDWELL MEMORIAL WA,132,MOPUBed,DOQ/PBed,MDC,Public,5.52E-05,0.031568063
193,CATAWISSA CA,215.86,MOPUBed,DOQed,MDC,Public,9.01E-05,0.037533126
194,UHLEMEYER ACCESS,11.92,MOPUB,DOQed,MDC,Public,4.98E-06,0.009234844
195,FLAMM CITY ACCESS,19.03,MOPUB,DOQed-ArnoldParkEd,MDC,Public,7.94E-06,0.011681528
196,HOUSE SPRING ACCESS,12.34,MOPUB,DOQed-akaRkfrd Beac,MDC,Public,5.15E-06,0.013396787
197,TESZARS WOODS CA,139.24,MOPUB,DOQ/WEBed-PLUS!,MDC,Public,5.81E-05,0.045633855
198,CHOUTEAU CLAIM ACCESS,15.32,MOPUB,DOQed,MDC,Public,6.40E-06,0.01039635
199,RIVER  ROUND CA,289.88,MOPUBed,DOQ/PBed,MDC,Public,0.000120898,0.081003903
200,GREEN MEADOW ACCESS,73.89,MOPUBed,ok,MDC,Public,3.08E-05,0.026148679
201,LONG RIDGE CA,1871.06,MOPUBed,DOQ/PBed,MDC,Public,0.000779888,0.184833734
202,REDHORSE ACCESS,47.32,MOPUB, ,MDC,Public,1.97E-05,0.019136223
203,SAND FORD ACCESS,34.65,MOPUB,PLUS,MDC,Public,1.44E-05,0.015427078
204,MERAMEC CA,3726.79,MOPUB,polyProb?4045aTOT,MDC,Public,0.001551884,0.240964081
205,MERAMEC CA - HEYNE (ARTHUR G) MEM ANNEX,176.6,MOPUB, ,MDC,Public,7.36E-05,0.044372926
206,MERAMEC CA,66.87,MOPUBed,polyProb?4045aTOT,MDC,Public,2.78E-05,0.031364941
207,MERAMEC UPLAND FOREST NA,451.28,MODNR,MINUS,MoDNR,Public,0.000187943,0.064369094
208,LABARQUE HILLS NA,330.35,MOPUBed,Fudged,TNC,Public,0.000240615,0.069013115
209,MERAMEC SP,3430.89,MODNR,weird?6788-6896a.TOT,MoDNR,Public,0.001428631,0.235586983
210,YOUNG CA,970.39,MDC,DOQ/WEBed,MDC,Public,0.000405102,0.098331699
211,ALLENTON ACCESS,8.27,COPAR, ,MDC,Public,3.45E-06,0.009543413
212,SWIFTWATER BEND ACCESS,57.34,COPARed,FudgedForPres,MDC,Public,2.39E-05,0.021280839
213,WELDON SPRING HOLLOW NA,400.64,MOPUB,PLUS,MDC,Public,0.000167829,0.084437475
214,PLEASANT HILL PARK,7.95,GEM,DOQ/FCed,City,Public,3.32E-06,0.007787734
215,WOLF BRANCH TOWNSHIP PARK,8.36,GEM,DOQ/FCedINCLschlPlgd,City,Public,3.50E-06,0.007831743
216,STONEWOLF GC,190,GEM,DOQ/PBedPLUS,Private,Public,7.95E-05,0.092294649
217,ROLLING HILLS GC,174.57,GEM,DOQ/PBedApprx,Private,Public,7.34E-05,0.051944831
218,GLAZEBROOK PARK,42.22,GEM,DOQed,City,Public,1.77E-05,0.017019347
219,WARREN LEVIS BOY SCOUT CAMP,252.64,GEM,DOQ/PBed,Private,Semi-Public,0.000106169,0.056846593
220,GODFREY BASEBALL  FIELDS,23.93,GEM,added-ok,Private,Public,1.01E-05,0.01421321
221,ALTON-WOOD RIVER SPORTSMAN CLUB,84.03,GEM,DOQ/PBed,Private,Private,3.53E-05,0.024444352
222,MILTON PARK,14.74,GEM,DOQedPLUS,City,Public,6.19E-06,0.011764255
223,ROSELAND GC,101.7,GEM,DOQ/FCed,Private,Public,4.27E-05,0.034207537
224,ADAMS PARK,6.07,GEM,added-DOQed,City,Public,2.55E-06,0.007072057
225,TOSCO KENDALL HILL PARK,106.82,GEM,DOQ/FCedCorporate,Private,Private,4.48E-05,0.031223958
226,LEWIS & CLARK MEMORIAL SP,76.41,GEM,more OS is adjacent,IDNR,Public,3.20E-05,0.02553886
227,BARRY LOMAN PARK,10.62,GEM,DOQed-ok,City,Public,4.45E-06,0.008479982
228,GATEWAY NATIONAL GC,91.72,GEM,added-DOQed,Private,Public,3.84E-05,0.027853473
229,OUR LADY OF THE SNOWS SHRINE,286.07,GEM,DOQ/PBedPLUS,Private,Public,0.000119558,0.044468907
230,LINCOLN PARK,13.91,GEM, ,City,Public,5.82E-06,0.010291216
231,THE PRAIRIES GC/CAHOKIA PARK,212.47,GEM,DOQ-FCshape,City,Public,8.88E-05,0.082460034
232,TRIPLE LAKES GC,157.38,GEM,DOQed,Private,Public,6.57E-05,0.038687579
233,ZION FELLOWSHIP PARK,5.8,GEM,DOQ/PBed,Private,Semi-Public,2.42E-06,0.007038314
234,YMCA FAMILY RECREATION CTR,60.77,GEM,DOQ/PBed,Private,Semi-Public,2.54E-05,0.019971376
235,BELLE-CLAIR SOCCER PARK,19.91,GEM,DOQ/PBed,Private,Public,8.31E-06,0.012806164
236,RIVER LAKES GC,146.79,GEM,added-DOQed,Private,Public,6.13E-05,0.048097944
237,AMERICAN LEGION PARK,21.99,GEM,DOQed,City,Public,9.18E-06,0.013090979
238,WATERLOO CC,49.17,EWGCC,DOQ/PBed,Private,Private,2.05E-05,0.021827118
239,THE RIDGE GC,196.12,EWGCC,DOQed-RESincldd,Private,Public,8.17E-05,0.059656925
240,MONROE COUNTY FAIRGROUNDS,31.39,EWGCC,DOQ/PBed,County,Public,1.31E-05,0.014798514
241,ANNBRIAR GC,234.18,EWGCC,DOQ/PBedPLUS,Private,Public,9.76E-05,0.057088895
242,ACORN GC,130.32,GEM,DOQ/PBed,Private,Public,5.43E-05,0.037456328
243,HORSESHOE LAKE SFWA,3088.31,ISGS,ilSP-WEBacres2,IDNR,Public,0.001293008,0.241871152
244,PIASA ISLAND,62.91,ISGS,DOQed-usedCOEmap,USA,Public,2.71E-05,0.032369126
245,MISSISSIPPI SANCTUARY NP,48.89,GRLT,DOQed,TNI,Public,2.05E-05,0.018635623
246,OBLATE FATHERS' WOODS NP,244.17,GRLT,DOQed/conease,Private,Private,0.000102579,0.046008706
247,JOHN M. OLIN NP,286.02,GRLT,DOQ/scenease,TNI,Public,0.000120146,0.056178645
248,CAMP VANDEVENTER,79,ISGS,OK,Private,Semi-public,3.29E-05,0.027195564
249,BLUEBIRD PARK,63.92,COPARed,DOQedMINUS!,City,Public,2.67E-05,0.035996235
250,LARSON PARK,15.5,COPAR,merged,City,Public,6.48E-06,0.017828429
251,TIEMEYER PARK,41.02,COPAR,merged,City,Public,1.72E-05,0.018814524
252,KOENEMAN PARK,44.09,COPAR,merged,City,Public,1.85E-05,0.029989106
253,POWDER VALLEY CONSERVATION NATURE CTR,114.41,COPAR,merged,MoDNR,Public,4.78E-05,0.03117214
254,ST. FERDINAND PARK,63.67,COPAR,unioned4OK,City,Public,2.67E-05,0.023427008
255,ST. ANN PARK,29.99,COPAR,mergedPLUS,City,Public,1.26E-05,0.01906317
256,JANUARY WABASH PARK,22.08,COPAR,merged,City,Public,9.26E-06,0.016739388
257,BABLER SOUTHWOODS HOLLOW NA,22.59,GEM,PLUS--notCOPAR,MoDNR,Public,9.45E-06,0.012589139
258,EMERALD GREENS GC,30.86,COPAR,merged,Private,Public,1.29E-05,0.025053863
259,MERAMEC LAKES GC,162.46,GEM,DOQ/PBed,Private,Public,6.77E-05,0.044962441
260,CC OF ST. ALBANS,288.11,GEM,DOQed-PLUS!!,Private,Private,0.000120523,0.143869827
261,FOX RUN GC,286.37,GEM,DOQed-okRESinc?,Private,Private,0.000119557,0.058271759
262,POMME CREEK GC,89.2,GEM,DOQed-FCshp!!!,Private,Public,3.72E-05,0.037908816
263,MASTODON SHS,415.8,MODNR,DOQed,MoDNR,Public,0.0001734,0.085903151
264,DEER CREEK GC,121.99,EWGCC,DOQed-rough,Private,Public,5.09E-05,0.042436927
265,VICTORIA GLADES CA,239.68,MOPUBed,DOQ/PlBkEd,MDC,Public,9.97E-05,0.053997408
266,MISSOURI BLUFFS GC,225.04,GEM,MapQWEBedApprox,Private,Public,9.43E-05,0.048951198
267,SLYSA SOCCER COMPLEX,80.4,GEM,DOQed-FCshape/name,Private,Public,3.37E-05,0.024944044
268,DARDENNE ISLAND CA,823.54,MDC,DOQed-COE,Federal,Public,0.000345816,0.110973735
269,UPPER MISSISSIPPI CA,340.93,MOPUB,merged,MDC,Public,0.000143139,0.055351909
270,ALBRECHT COUNTY PARK,27.31,COPAR,merged,County,Public,1.14E-05,0.026417404
271,KENNEDY CO. REC COMPLEX/QUAIL CREEK GC,265.55,COPAR,merged,County,Public,0.000110875,0.045551317
272,EAGLE SPRINGS GC,127.42,COPAR, ,Private,Public,5.34E-05,0.038518461
273,BRIDGETON BERRY HILL GC,50.4,COPAR,9holes,City,Public,2.11E-05,0.031148421
274,BIRD SANCTUARY,22.96,COPAR,ok,City,Public,9.62E-06,0.019925748
275,CHESTERFIELD GC,216.44,COPAR,GEMadd,Private,Private,9.07E-05,0.048465028
276,NORMANDIE CC,120.42,COPAR,GEMaddn,Private,Public,5.04E-05,0.030557041
277,MILLAR PARK,11.99,COPAR,OK,City,Public,5.02E-06,0.009985569
278,DIELMANN REC COMPLEX/CREVE COUER GC,55.93,COPAR,GEMaddn,City,Public,2.34E-05,0.019844537
279,ST. LOUIS CC,153.22,COPAR,OK,Private,Private,6.41E-05,0.04474255
280,SHAW PARK,53.41,COPAR,plusOK1parcel,City,Public,2.24E-05,0.024604338
281,LOG CABIN CC,50.01,COPAR,OK,Private,Private,2.09E-05,0.021707934
282,WEHNER MEMORIAL PARK,34.33,COPAR,RMok,City,Public,1.44E-05,0.017503079
283,CHERRY HILLS GC,155.12,COPAR, ,Private,Public,6.49E-05,0.040308535
284,JOHNNY MACS SPORTS COMPLEX,49.96,COPAR, ,Private,Public,2.09E-05,0.020165977
285,TAPAWINGO GC,205.2,COPAR, ,Private,Public,8.58E-05,0.102970793
286,HIDDEN VALLEY GOLF & SKI,107.96,COPAR, ,Private,Public,4.51E-05,0.033316344
287,THE PLAYERS GC,191.57,COPAR, ,Private,Private,8.01E-05,0.05190466
288,LAKEWOOD GC,55.57,COPAR, ,Private,Public,2.32E-05,0.019677546
289,BEAUMONT SCOUT RESERVATION,1189.2,COPAR, ,Private,Semi-Public,0.00049689,0.11488465
290,THE LEGENDS GC,252.58,COPAR, ,Private,Private,0.00010553,0.111776408
291,SHERWOOD CC,49.72,COPAR,OK,Private,Private,2.07E-05,0.021769247
292,SUNSET LAKES GC,139.51,COPAR,merged-ok,Private,Public,,
293,WESTBOROUGH CC,78.72,COPAR,merged-ok,Private,Private,3.29E-05,0.02812068
294,ST. ANN MUNICIPAL GC,54.32,COPAR,merged-ok,City,Public,2.28E-05,0.019934926
295,NORWOOD HILLS CC,307.28,COPAR,merged-ok,Private,Private,0.00012874,0.055743348
296,GLEN ECHO CC,140.83,COPAR,merged-ok,Private,Private,5.90E-05,0.032444541
297,PIONEER PARK,7.42,COPAR,merged-ok,City,Public,3.10E-06,0.007082508
298,BELLERIVE CC,211.57,COPAR,merged-ok,Private,Private,8.86E-05,0.051047883
299,ST. VINCENTS COUNTY PARK,130.39,COPAR,merged-ok,County,Public,5.46E-05,0.052537341
300,COLDWATER COMMONS PARK,9.4,COPAR,OK,City,Public,3.94E-06,0.008487833
301,OLD FLEURISSANT GC,128.67,COPAR,merged-ok,Private,Public,5.40E-05,0.049408202
302,LEGION PARK,8.87,COPAR,merged-ok,City,Public,3.71E-06,0.008923954
303,HEMAN PARK,74.71,COPAR,"looksOK,butMINUSweb",City,Public,3.13E-05,0.025145445
304,OLD WARSON CC,140.68,COPAR,merged-ok,Private,Private,5.89E-05,0.037170991
305,WESTWOOD CC,222.64,COPAR,merged-ok,Private,Private,9.32E-05,0.049830321
306,BOGEY CC,62.06,COPAR,merged-ok,Private,Private,2.60E-05,0.030910375
307,MUSICK PARK,8.76,COPAR,WB/RM,City,Public,3.67E-06,0.010640976
308,WHITE BIRCH PARK,32.49,COPAR,RM,City,Public,1.36E-05,0.019727885
309,FOX LAKE COMMON GROUND,18.63,COPAR,RMok,Neighborhood,Public,7.82E-06,0.025606107
310,FLORISSANT VALLEY PARK/CIVIC CTR,40.67,COPAR,OK,City,Public,1.71E-05,0.01859791
311,KHOURY LEAGUE PARK,53.48,COPAR,RM,City,Public,2.24E-05,0.026473854
312,JESKE PARK,7.16,COPAR,RM,City,Public,3.00E-06,0.007264112
313,DELLWOOD RECREATION CTR.,7.45,COPAR,RM,Public,Public,3.12E-06,0.008914787
314,BISSELL HOUSE HISTORICAL PARK,9.31,COPAR,RM,County,Public,3.90E-06,0.007949046
315,OAK VALLEY PARK,24.24,COPAR,DOQ/FCed-plusOK,City,Public,1.02E-05,0.018991932
316,ENDICOTT COUNTY PARK,23.7,COPAR,merged,County,Public,9.93E-06,0.012348456
317,WARSON PARK,11.44,COPAR/ed,DOQedA2tooHighOK,City,Public,4.79E-06,0.013215639
318,SCHAFER PARK,5.61,COPAR,merged,City,Public,2.35E-06,0.00695256
319,LANG ROYCE PARK,14.67,COPAR,RM,City,Public,6.15E-06,0.013335302
320,METCALFE PARK,5.14,COPAR,OK,City,Public,2.15E-06,0.007005664
321,RUTH PORTER MALL,12.34,EWGCC,DOQed-FC?,City,Public,5.16E-06,0.023849161
322,SUGAR CREEK PARK,16.43,COPAR,ok,City,Public,6.87E-06,0.014392601
323,EMMENEGGER NATURE PARK,95.7,COPAR,WB-ok,City,Public,4.00E-05,0.032191392
324,EMMENEGGER NATURE PARK STAGING AREA,17,COPAR,GEMaddWeb,City,Public,7.11E-06,0.013332042
325,BRIGHT-FOWLER COUNTY PARK,12.93,COPAR,RM-merged,County,Public,5.41E-06,0.011677949
326,SOUTHWEST PARK,12.3,COPAR,RM-merged,County,Public,5.14E-06,0.011585678
327,WESTSIDE PARK,10.41,COPAR,ok,City,Public,4.35E-06,0.008728354
328,BUD WEIL MEMORIAL PARK,18.7,COPAR,FENTON COMMUNITY CTR,City,Public,7.81E-06,0.015925617
329,SUNSET CC,163.2,COPAR,RMok,Private,Private,6.82E-05,0.051379692
330,WHITE HAVEN NHS,9.56,COPAR,RM/US Grant's home,USNPS,Public,4.00E-06,0.008421713
331,WASHINGTON U. TYSON RESEARCH CTR.,1897.77,COPAR,RMok,Private,Private,0.000793107,0.142618523
332,FORREST STALEY COUNTY PARK,107.04,COPAR,RMok,County,Public,4.47E-05,0.029233255
333,CLIFTON TERRACE PARK,10.12,GEM,DOQed-ok,City,Public,4.25E-06,0.009361916
334,WHITE HOUSE RETREAT,53.36,COPAR,WB,Private,Private,2.23E-05,0.019975798
335,DICKMAN PARK,5.45,GEM,addedDOQ-ok,City,Public,2.28E-06,0.007176417
336,BUSCHE PARK,6.5,GEM,addedDOQok,City,Public,2.72E-06,0.011748932
337,COSTELLO PARK,5.72,GEM,onList-looksNotPark,City,Public,2.39E-06,0.006264126
338,FAIRGROUND PARK,126.57,EWGCC,DOQed-ok,City,Public,5.30E-05,0.034266477
339,DE SOTO PARK,9.87,GEM,DOQed-ok,City,Public,4.13E-06,0.009703787
340,ALOE PLAZA WEST EXTENSION,1.12,GEM,addedDOQed-ok,City,Public,4.67E-07,0.003505159
341,KAUFMANN PARK,1.26,GEM,DOQed-ok,City,Public,5.27E-07,0.003225919
342,MEMORIAL PLAZA,7.49,GEM,DOQed-ok,City,Public,3.13E-06,0.014183547
343,SOLDIERS MEMORIAL/PARKS,8.56,GEM,DOQed-ok,City,Public,3.58E-06,0.010704205
344,WASHINGTON SQUARE PARK,12.15,GEM,DOQed-CITY HALL,City,Public,5.08E-06,0.009107445
345,MAY AMPHITHREATRE,1.6,GEM,addedDOQed,City,Public,6.69E-07,0.003347167
346,LUTHER ELY SMITH PARK,1.41,GEM,pt. of JNEM,USA,Public,5.91E-07,0.003144358
347,SERRA SCULPTURE PARK,1.09,GEM,addedDOQed,City,Public,4.56E-07,0.002711259
348,GATEWAY ONE OPEN SPACE,0.9,GEM,addedDOQed,Private,Public,3.75E-07,0.002769823
349,CHRISTY PARK,15.85,EWGCC,DOQed-FCshp/name?,City,Public,6.62E-06,0.012999584
350,RIVER DES PERES PARK,7.48,EWGCC,DOQed-FCshape?,City,Public,3.13E-06,0.012337447
351,ST. MARCUS COMMUNITY PARK,23.73,GEM,DOQed-FCshape?,City,Public,9.92E-06,0.015134123
352,RIVER DES PERES PARK,14.73,EWGCC,DOQed-FCshape?,City,Public,6.16E-06,0.017568425
353,WILLMORE PARK,118.73,GEM,addedDOQ-FCshape?,City,Public,4.96E-05,0.04652268
354,RIVER DES PERES PARK,252.57,EWGCC,DOQed-FCshape?,City,Public,0.000105598,0.139348618
355,MIDDLE MISSISSIPPI RIVER NWR,1231.92,GEM,DOQed-okHarlowIDiv,Federal,Public,0.000512145,0.117087672
356,MIDDLE MISSISSIPPI RIVER NWR,77.25,GEM,DOQed-MeissnerIDiv,Federal,Public,3.22E-05,0.022850158
357,ACKFELD PARK,8.92,COPAR,2comb,City,Public,3.73E-06,0.018196289
358,ALGONQUIN CC,95.85,COPAR,2comb,Private,Private,4.01E-05,0.04098736
359,BAERVELDT PARK,9.86,COPAR,2comb,City,Public,4.13E-06,0.01289354
360,CLIFF CAVE COUNTY PARK,221.9,COPAR,2comb,County,Public,9.26E-05,0.07175784
361,DR. EDMUND BABLER SP,2302.7,COPAR,4comb,MoDNR,Public,0.000963748,0.213836469
362,FOREST HILLS CC,172.53,COPAR,4comb,Private,Private,7.22E-05,0.109126891
363,FOUR SEASONS CC,44.51,COPAR,9holes-union2,Private,Private,1.86E-05,0.032917887
364,FORMAN COUNTY PARK,12.97,COPAR,RM-2comb,County,Public,5.42E-06,0.016709929
365,FRANK HOLTEN SFWA,1041.53,EWGCC,DOQed-2comb,IDNR,Public,0.000435474,0.125490099
366,FROSTWOOD PARK,5.31,COPAR,RM-2comb,City,Public,2.23E-06,0.010041418
367,G.J. APPEL PARK,8.96,COPAR,RM-3comb,City,Public,3.74E-06,0.012455971
368,GATEWAY MALL,2.88,GEM,DOQed-2comb,City,Public,1.21E-06,0.006333217
369,GRANT'S FARM,270.81,COPAR,RM-2combWebA2,Private,Public,0.000114617,0.083943327
370,GREENBELT PARK,5.86,COPAR,RM-FCnm-4comb,City,Public,2.45E-06,0.01990937
371,GREENBRIAR HILLS CC,120.52,COPAR,3comb,Private,Private,5.04E-05,0.069854716
372,LORRAINE DAVIS PARK,10.55,COPAR,RMok,City,Public,4.41E-06,0.017051385
373,MEADOWBROOK CC,221.42,COPAR/GEM,2comb,Private,Private,9.27E-05,0.084467408
374,MORT JACOBS PARK,10.3,COPAR,2comb,City,Public,4.32E-06,0.012212909
375,MUSEUM OF TRANSPORTATION,35.68,COPAR,2combMINUS,County,Public,1.49E-05,0.028788423
376,OLIN CLUBGROUNDS,91.76,GEM,addedDOQ-2comb,Private,Private,3.85E-05,0.037288532
377,PARADISE VALLEY GC,114.08,COPAR,2combGEMaddn,Private,Public,4.77E-05,0.071174393
378,ROCKWOODS RESERVATION,1808.24,COPAR,8comb/merge,MDC,Public,0.000756201,0.340078092
379,ROUTE 66 SP,412.13,COPAR,3combWebA2,MoDNR,Public,0.000172211,0.097971178
380,SPRINGDALE PARK,8.63,COPAR,2comb,City,Public,3.61E-06,0.011667591
381,ST. STANISLAUS COUNTY PARK,547.35,COPAR,2comb,County,Public,0.000229633,0.112583503
382,MSD UNION ROAD COUNTY PARK,53.84,COPAR,RM-3comb,County,Public,2.25E-05,0.04540412
383,VLASIS PARK,30.59,COPARed,DOQedCoparMissingPt,City,Public,1.28E-05,0.023727313
384,WEST TYSON COUNTY PARK,445.39,COPAR,2merge,County,Public,0.000186127,0.067515258
385,BECK PARK,152.46,GEM,DOQed-okw/PlatBk,County,Public,6.37E-05,0.03584841
386,SYLVAN SPRINGS COUNTY PARK,73.12,COPAR,WEBchecked,County,Public,3.05E-05,0.027511458
387,COLDWATER CREEK COUNTY PARK,321.27,COPAR,added,County,Public,0.000134782,0.061567253
388,LOWER MERAMEC COUNTY PARK,149.54,COPAR,addedMINUS!!,County,Public,6.24E-05,0.044939413
389,OAK TREE PARK,6.89,COPAR,RMok,City,Public,2.88E-06,0.011107757
390,CREVE COEUR LEGION PARK,20.46,COPAR,COPAR,Private,Public,8.57E-06,0.016014447
391,ABERDEEN GC,218.29,GEMCOPAR,apprxdByParcel,Private,Public,9.12E-05,0.041710825
392,PEVELEY FARM GC,413.51,GEMCOPAR,apprxdByParcel,Private,Public,0.000172821,0.067972436
393,PEVELEY FARM GC,117.99,GEMCOPAR,COPAReditedNEedge,Private,Public,4.93E-05,0.048077191
394,NORTH END PARK,5.84,GEM,DOQ/FCed,City,Public,2.44E-06,0.006803119
395,MATTHEW DICKEY BOYS AND GIRLS CLUB,6.83,GEM,DOQed-guesstimate,Private,Semi-public,2.86E-06,0.007510568
396,OLD COURTHOUSE,1.54,GEM,DOQed-ok,USA,Public,6.45E-07,0.003281151
397,GRANITE CITY YOUTH SOCCER FIELDS,13.53,GEM,DOQed-ok,City,Public,5.67E-06,0.010779007
398,TEAMSTERS HEALTH & MEDICAL CAMP,379.22,GEM,DOQ/PBedGolfEtc,Private,Private,0.000157956,0.059371306
399,BURGER PARK,33.25,EWGCC,FCshape,City,Public,1.39E-05,0.017987124
400,ARAPAHO CAMPGROUNDS,41.39,GEM,DOQed-approx,Private,Public,1.72E-05,0.022959868
401,YOGI BEAR'S JELLYSTONE PARK CAMP RESORT,33.76,COPAR,ok,Private,Public,1.41E-05,0.015379568
402,STRAWBERRY CREEK NATURE AREA,117.3,GEM,DOQed-ArnoldParkEd,City,Public,4.89E-05,0.043774397
403,FERD B. LANG PARK,21.65,GEM,DOQed-ArnoldParkEd,City,Public,9.04E-06,0.016140497
404,HILLSBORO CITY PARK,34.59,GEM,DOQed-approx,City,Public,1.44E-05,0.015683608
405,SUNNYHILL ADVENTURE CENTER,54.62,GEM,DOQed-PlatBkEd,Private,Private,2.28E-05,0.024346419
406,TURNERCAMP,46.78,GEM,FCrough!guesstimate,Private,Private,1.95E-05,0.022986318
407,LION'S DEN OUTDOOR LEARNING CTR.,276.95,GEM,DOQed-approx,Private,Private,0.000115554,0.053355674
408,KOA ST. LOUIS SOUTH,22.67,GEM,DOQ/PBed,Private,Public,9.45E-06,0.014579297
409,VISION OF PEACE HERMITAGES,5.37,GEM,DOQed-approx,Private,Public,2.24E-06,0.006771295
410,LOOKOUT POINT RESORT & CAMPGROUND,49.3,GEM,DOQed-approx,Private,Public,2.06E-05,0.032873367
411,PIN OAK CREEK RV PARK,30.32,GEM,DOQ/PBedMINUS,Private,Public,1.27E-05,0.014796251
412,CAMP HERITAGE CROSSING,399.94,GEM,DOQed-FCapprox,Private,Public,0.000166643,0.06778443
413,FRANKLIN COUNTY BAPTIST CAMP,116.94,GEM,DOQ/PBed,Private,Private,4.87E-05,0.030830782
414,KOA ST. LOUIS WEST,16.34,COPAR,ok,Private,Public,6.83E-06,0.013795984
415,FOREST 44 CA,983.98,COPAR,PLUS,MDC,Public,0.000392004,0.123844226
416,FOREST PARK,1268.13,GEM,DOQed-ok,City,Public,0.000530676,0.151439142
417,MELVIN PRICE LOCKS & DAM 26,97.86,GEM,DOQed-usedCOEmap,USA,Public,4.11E-05,0.101206407
418,RIVERLANDS ENVIRONMENTAL DEMO AREA,2402.68,GEM,DOQ/COEed-WebA2,USA,Public,0.001008514,0.258261752
419,DRESSER ISLAND CA,1406.06,MOPUB,DOQed-usedCOEmap,Federal,Public,0.000590511,0.362873889
420,SLIM ISLAND,37.33,GEM,DOQed-COEmap,USA,Public,1.57E-05,0.034910203
421,TWO RIVERS NWR,120.16,GEM,DOQed-COEmap,Federal,Public,5.05E-05,0.076438748
422,MASON ISLAND CA,344.02,MOPUB,DOQed-COEmap,Federal,Public,0.000144632,0.091184512
423,PERRY ISLAND CA,279.73,EWGCC,DOQed-COEmap,Federal,Public,0.000117583,0.095300043
424,BOLTER ISLAND CA,535.04,MDC,DOQed-COEmap,Federal,Public,0.00022473,0.122030224
425,CUIVRE ISLAND,400.7,GEM,DOQed-COEmap,USA,Public,0.000168415,0.053661288
426,CUIVRE ISLAND CA,569.94,MOPUB,DOQed-COEmap,MDC,Public,0.000239514,0.088866483
427,USACE POOL 26 MA,92.05,GEM,DOQed-COE,USA,Public,3.86E-05,0.028007631
428,USACE POOL 26 MA,41.36,GEM,DOQed-COE,USA,Public,1.74E-05,0.018643133
429,CHOUTEAU/GABARET ISLANDS,3386.64,EWGCC,roughDOQed-get firm,Public,Public,0.001419198,0.26057292
430,USACE  POOL 27 MA,1118.25,GEM,DOQed-COEmap,USA,Public,0.00046856,0.316499022
431,USACE POOL 27 MA,1736.18,GEM,DOQed-COEmap,USA,Public,0.000727599,0.360508338
432,COLUMBIA BOTTOM CA,4129.58,COPAR,DOQedRiv-MINUS,MDC,Public,0.001731937,0.211675911
433,PEABODY RIVER KING SFWA,2322.45,GEM,DOQed-IDNRweb,IDNR,Public,0.000967345,0.18024622
434,BALDWIN LAKE SFWA,946.88,GEM,DOQ/PB/WEBed,IDNR,Public,0.000393851,0.084967479
435,LIVING SPRINGS CAMP,98.6,GEM,DOQ/PBed-Approx,Private,Private,4.10E-05,0.029413819
436,SAUGET FIELD,21.79,GEM,DOQed-ok+parking/etc,City,Public,9.11E-06,0.013687837
437,KING'S HOUSE RETREAT & RENEWAL CTR.,32.17,GEM,DOQed-apprx,Private,Private,1.34E-05,0.016594999
438,TODD HALL RETREAT & CONFERENCE CTR.,45.63,GEM,DOQ/WEBedApprox,Private,Private,1.90E-05,0.019656796
439,QUEEN OF APOSTLES CENTER,13.33,GEM,DOQed-ok,Private,Private,5.56E-06,0.01069409
440,THOMPSON RETREAT CENTER,27.87,COPAR,DOQok,Private,Private,1.17E-05,0.014625713
441,ST. LOUIS CHARISMATIC CENTRE,32.98,COPAR,DOQok,Private,Private,1.38E-05,0.016652335
442,PALLOTINE RENEWAL CENTER,77.01,COPAR,DOQok,Private,Private,3.23E-05,0.029091517
443,MERCY CTR. CONFERENCE/RENEWAL MINISTRY,68.72,COPAR,DOQok-unioned2parcel,Private,Private,2.88E-05,0.022278351
444,LASALLE RETREAT & CONFERENCE CTR.,205.26,COPAR,DOQok-unioned3parcel,Private,Private,8.58E-05,0.047941216
445,LEMAY COUNTY PARK,13.89,COPAR,93buyout12parcels,County,Public,,
446,SUNSET PARK,89.47,COPARed,fudgedCOPAR+induti,City,Public,3.75E-05,0.027463276
447,DEER CREEK  COUNTY PARK,18.56,COPAR,WEBa2,County,Public,7.76E-06,0.018288932
448,STACEY PARK,29.81,COPAR/ed,DOQ/FCedOK,City,Public,1.25E-05,0.018104597
449,PACKWOOD COUNTY PARK,112.94,COPAR, ,County,Public,4.72E-05,0.041121037
450,HUNTERS FORD COUNTY PARK,46.09,COPAR,undev,County,Public,1.92E-05,0.031612742
